fuelFormulationID,fuelSubtypeID,RVP,sulfurLevel,ETOHVolume,MTBEVolume,ETBEVolume,TAMEVolume,aromaticContent,olefinContent,benzeneContent,e200,e300,volToWtPercentOxy,BioDieselEsterVolume,CetaneIndex,PAHContent,T50,T90,FIP
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36117
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36117
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36117
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36117
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36117
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36117
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36117
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36117
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36117
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36119
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36119
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36119
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36119
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36119
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36119
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36119
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36119
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36119
8066,12,7.24,19.7,10,0,0,0,17.681,13.6087,0.591822,40.7243,82.7582,,0,0,0,218.746,330.508,36119
8067,12,13.4,19.6563,10,0,0,0,17.7213,12.7213,0.668291,58.7401,88.2035,,0,0,0,154.538,307.749,36119
8068,12,10.5,20.2563,10,0,0,0,18.424,13.3425,0.651291,54.6774,87.0011,,0,0,0,171.765,312.818,36119
8366,10,7,20.3759,0,0,0,0,19.8803,12.0357,0.591822,37.2315,83.7133,,0,0,0,225.874,326.167,36119
8367,10,12.6,19.6563,0,0,0,0,19.4213,11.0213,0.678291,52.3401,88.0035,,0,0,0,195.041,306.666,36119
8368,10,9.7,20.2563,0,0,0,0,20.124,11.6425,0.661291,48.2774,86.8011,,0,0,0,203.332,312.131,36119
8666,15,6.85,19.3571,15,0,0,0,16.7963,12.9539,0.562231,56.2127,83.6989,,0,0,0,165.381,327.461,36119
8667,15,13.25,18.6734,15,0,0,0,16.8353,12.0852,0.634877,57.8141,88.6395,,0,0,0,156.993,305.296,36119
8668,15,10.35,19.2434,15,0,0,0,17.5028,12.6754,0.618727,57.3918,87.5628,,0,0,0,159.205,310.126,36119
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36119
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36119
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36119
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36119
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36121
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36121
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36121
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36121
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36121
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36121
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36121
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36121
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36121
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36121
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36121
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36121
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36121
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36121
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36121
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36121
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36121
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36121
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36121
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36121
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36121
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36121
10,10,6.9,30,0,0,0,0,26.1,5.6,1,41.09,83.09,,0,0,0,218,329,36123
20,20,0,11,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36123
30,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36123
50,51,7.7,11,85,0,0,0,0,0,0,999,999,,0,0,0,999,999,36123
90,90,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36123
96,10,8.7,338,0,0,0,0,26.4,11.9,1.64,50,83,,0,0,0,199.816,329.409,36123
97,10,6.6,150,0,0,0,0,24,11,0.8,52,84,,0,0,0,195.735,324.864,36123
98,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36123
99,12,8.8,30,10,0,0,0,25.77,8.44,0.65,47.61,84.89,,0,0,0,212.282,321.719,36123
8105,12,8.59,23.1,10,0,0,0,24.1813,9.42796,0.985782,42.3813,83.9552,,0,0,0,215.365,325.067,36123
8106,12,12.5,21.158,10,0,0,0,20.4888,10.2143,0.90535,52.8727,85.6809,,0,0,0,182.111,318.384,36123
8107,12,10.5,20.233,10,0,0,0,23.2346,10.7237,0.95485,52.0168,85.6846,,0,0,0,187.018,318.369,36123
8405,10,9,19.6379,0,0,0,0,26.3848,7.68948,0.985782,40.4071,84.4956,,0,0,0,219.394,322.611,36123
8406,10,11.7,21.158,0,0,0,0,22.1888,8.51431,0.91535,46.4727,85.4809,,0,0,0,207.015,318.132,36123
8407,10,9.7,20.233,0,0,0,0,24.9346,9.02371,0.96485,45.6168,85.4846,,0,0,0,208.762,318.115,36123
8705,15,8.85,18.656,15,0,0,0,22.9756,8.825,0.936493,56.3702,85.14,,0,0,0,164.556,320.996,36123
8706,15,12.35,20.1001,15,0,0,0,19.4644,9.7036,0.860083,57.1382,86.3806,,0,0,0,160.533,315.43,36123
8707,15,10.35,19.2213,15,0,0,0,22.0729,10.1875,0.907108,57.018,86.3839,,0,0,0,161.163,315.415,36123
25003,21,0,6,0,0,0,0,0,0,0,0,0,,3.4,0,0,0,0,36123
27001,51,10.5,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36123
27002,51,7.7,8,74,0,0,0,0,0,0.16,999,999,,0,0,0,999,999,36123
28001,30,0,7.6,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,36123
